Date,FII_FUT,FII_OPT
16-11-2009,673.91,100.25
17-11-2009,-227.73,-175.81
18-11-2009,-320.95,-236.75
19-11-2009,382.67,100.53
20-11-2009,-738.32,-171.15
23-11-2009,-395.8,-725.39
24-11-2009,413.24,-307.83
25-11-2009,-250.25,78.09
27-11-2009,-948.38,-60.47
30-11-2009,-769.77,165.77
01-12-2009,664.95,524.73
02-12-2009,0,0
03-12-2009,0,0
04-12-2009,0,0
07-12-2009,0,0
08-12-2009,-557.95,-439.74
09-12-2009,-81.5,2.18
10-12-2009,-371.28,-607.23
11-12-2009,-266.27,214.79
14-12-2009,366.36,67.11
15-12-2009,193.34,-65.39
16-12-2009,-695.18,-225.91
17-12-2009,-600.74,-105.73
18-12-2009,-416.29,-10.71
21-12-2009,-1690.7,-73.02
22-12-2009,-600.34,146.14
23-12-2009,421.9,541.92
24-12-2009,977,190.92
29-12-2009,-271.7,-290.6
30-12-2009,540.81,-96.16
31-12-2009,43.98,-93.3
04-01-2010,-59.78,-342.74
05-01-2010,-45.64,-257.38
06-01-2010,1970.38,-253.47
07-01-2010,394.38,-108.59
08-01-2010,-944.06,-657
11-01-2010,-296.49,-599.51
12-01-2010,-566.98,-475.73
13-01-2010,-504.56,-564.69
14-01-2010,-716.22,-680.32
15-01-2010,410.04,-242.19
19-01-2010,-252.02,-100.16
20-01-2010,-682.19,-116.12
21-01-2010,-1068.73,334.05
22-01-2010,-3881.78,-411.41
25-01-2010,-1563.71,831.81
27-01-2010,234.62,142.87
28-01-2010,-1014.73,170.56
29-01-2010,1590,1089.39
01-02-2010,-430.22,-119.18
02-02-2010,544.48,23.83
03-02-2010,-418.34,239.25
04-02-2010,2447.19,452.03
05-02-2010,-196.62,-342.04
08-02-2010,-1917.18,185.93
09-02-2010,-295.75,-4.62
10-02-2010,1135.35,115.89
11-02-2010,879.3,306.62
16-02-2010,108.09,-1.38
17-02-2010,225.9,7.13
18-02-2010,805.56,263.11
19-02-2010,-349.87,133.51
22-02-2010,-602.6,-228.69
23-02-2010,354.21,380.53
24-02-2010,546.22,273.38
25-02-2010,-700.31,277.19
26-02-2010,-242.73,321.48
02-03-2010,1559.83,-347.58
03-03-2010,1221.88,539.48
04-03-2010,814,638
05-03-2010,-728,-196
08-03-2010,79,-160
09-03-2010,287,168
10-03-2010,24,-538
11-03-2010,335,-270
15-03-2010,-47.94,-207.25
17-03-2010,-645.57,208.44
18-03-2010,874.23,-117.5
19-03-2010,-106.46,42.99
22-03-2010,-32.25,-120.87
23-03-2010,-1102.31,-433.31
25-03-2010,578.54,-101.52
26-03-2010,238.84,-521.31
29-03-2010,220.4,-223.24
30-03-2010,231.53,-685.7
31-03-2010,-467.89,-71.64
01-04-2010,-683.29,-121.77
05-04-2010,248.12,-277.02
06-04-2010,1310.52,281.84
07-04-2010,350.99,70.84
08-04-2010,-120.78,-38.79
09-04-2010,-1408.21,-637.97
12-04-2010,362.67,-110.34
13-04-2010,12.76,-350.68
15-04-2010,-370.53,436.92
16-04-2010,-861.87,-32.07
19-04-2010,-1060.98,-278.02
20-04-2010,-829.12,-118.73
21-04-2010,-430.19,584.77
22-04-2010,-374.73,535.45
23-04-2010,-444.19,346.68
26-04-2010,66.28,345
27-04-2010,152.26,31.08
28-04-2010,-202.87,-148.41
29-04-2010,-864.43,-924.32
30-04-2010,-204.14,106.17
03-05-2010,-4.4,323.8
04-05-2010,-985.09,-392.3
05-05-2010,-738.83,-134.31
06-05-2010,-1039.14,0.82
07-05-2010,-940.78,21.66
10-05-2010,-492.02,444.06
11-05-2010,2446.42,656.34
12-05-2010,83.35,-243.29
13-05-2010,505.23,62.69
14-05-2010,1065.08,425.61
17-05-2010,-1424.34,-429.24
18-05-2010,-1272.05,-185
19-05-2010,456.59,380.51
20-05-2010,-1555.15,22.5
21-05-2010,-781.06,887.77
24-05-2010,-551.57,468.15
25-05-2010,280.09,827.88
26-05-2010,-568.42,159.41
27-05-2010,1194.08,1062.97
28-05-2010,831.88,193.37
01-06-2010,-386.66,181.75
02-06-2010,-901.52,5
03-06-2010,-174.79,390.02
04-06-2010,1782.07,474.02
07-06-2010,136.09,330.01
08-06-2010,-1665.08,-261.53
09-06-2010,-323.65,-50.19
10-06-2010,683.55,448.37
11-06-2010,242.77,406.32
14-06-2010,1019.11,485.28
15-06-2010,1316.07,-19.18
16-06-2010,622.5,-334.33
17-06-2010,1060.78,257.71
18-06-2010,359.06,120.05
21-06-2010,-131.67,-203.13
22-06-2010,425.52,-195.5
23-06-2010,-214.9,-746.29
24-06-2010,140.59,-472.61
25-06-2010,222.09,-953.14
28-06-2010,-1603.72,-235.93
29-06-2010,25.21,-50.41
30-06-2010,-1458.22,-375.98
01-07-2010,95.82,-276.93
02-07-2010,-1585.94,-544.02
06-07-2010,-370.22,-23.12
07-07-2010,1060.94,-146.18
08-07-2010,-222.49,-267.32
09-07-2010,1454.88,446.07
12-07-2010,1059.54,531.02
13-07-2010,609.42,590.31
14-07-2010,-49.73,-224.76
15-07-2010,-429.53,184.63
16-07-2010,-457.71,-175.23
19-07-2010,-67.65,418.41
20-07-2010,-378.48,-79.28
21-07-2010,-77.32,121.66
22-07-2010,73.23,338.9
23-07-2010,32.33,-127.99
26-07-2010,-49.76,566.01
27-07-2010,13.95,-277.19
28-07-2010,247.99,36.75
29-07-2010,-738.75,-658.32
30-07-2010,505.61,-671.12
02-08-2010,-424.43,-183.17
03-08-2010,638.84,367.87
04-08-2010,249.28,406.32
05-08-2010,-2.18,151.65
06-08-2010,-289.57,-5.33
09-08-2010,526.35,-598.69
10-08-2010,210.39,107.32
11-08-2010,-329.62,47.13
12-08-2010,-836.66,-279.93
13-08-2010,-697.73,-370.09
16-08-2010,485.79,-75.67
17-08-2010,114.23,-556.26
18-08-2010,160.95,-125.83
20-08-2010,432.99,321.01
23-08-2010,-781.04,-132.7
24-08-2010,-610.17,88.44
25-08-2010,-1160.17,-217.53
26-08-2010,-888.43,-288.39
27-08-2010,-238.33,-216.87
30-08-2010,-221.77,-87.05
31-08-2010,419.84,306.88
01-09-2010,-706.48,-242.87
02-09-2010,667.48,260.21
03-09-2010,944.25,229.72
07-09-2010,820.46,647.52
08-09-2010,-71.38,529.6
09-09-2010,-587.39,-58.42
13-09-2010,212.17,471.68
14-09-2010,25.38,594.72
15-09-2010,1624.79,-672.79
16-09-2010,63.22,-159.62
17-09-2010,-647.05,-853.13
20-09-2010,498.71,-124.46
21-09-2010,1276.62,-494.45
22-09-2010,-517.18,-618.09
23-09-2010,-1717.4,-860.26
24-09-2010,-1000.4,-758
27-09-2010,-698.46,-739.29
28-09-2010,268.24,-262.19
29-09-2010,-601.74,-476.89
