Date,INDEX_FUT_BUY,INDEX_FUT_SELL,INDEX_FUT_NET,STK_FUT_BUY,STK_FUT_SELL,STK_FUT_NET,INDEX_OPT_BUY,INDEX_OPT_SELL,INDEX_OPT_NET,STK_OPT_BUY,STK_OPT_SELL,STK_OPT_NET,OPEN_INT,OPEN_INT_AMT
13/10/2020,3189.23,3889.91,-700.68,205051.12,206269.07,-1217.95,11810.84,12758.82,-947.98,5228.62,5395.87,-167.25,1126196,80966.32
12/10/2020,4471.31,3732.31,739,197910.93,197698.07,212.86,14535.22,15575.04,-1039.82,5765.17,5770.49,-5.32,1124614,81080.46
9/10/2020,4840.99,3442.15,1398.84,348948.78,347237.17,1711.61,16096.54,16333.85,-237.31,6389.91,6437.5,-47.59,1124747,80333.87
8/10/2020,3561.06,2779.64,781.42,272839.06,273553.14,-714.08,13324.12,13590.94,-266.82,6070.65,6093.53,-22.88,1113693,78618.71
7/10/2020,2779.05,3293,-513.95,193090.91,192323.28,767.63,12788.21,12913.59,-125.38,4095.66,4150.27,-54.61,1113491,78491.95
6/10/2020,3506.23,3551.21,-44.98,199498.33,198408.73,1089.6,13028.49,13863.13,-834.64,4336.27,4352.73,-16.46,1111107,77366.13
5/10/2020,5486.41,4009.94,1476.47,324284.32,320907.06,3377.26,12045.89,12060.6,-14.71,3937.67,3825.06,112.61,1110858,76868.76
1/10/2020,3826.42,3101.64,724.78,253298.97,253297.46,1.51,13163.59,12927.36,236.23,3493.21,3470.13,23.08,1117142,75682.31
30/09/2020,3146.54,3790.3,-643.76,189169.89,190260.09,-1090.2,14470.76,14337.78,132.98,3573.01,3573.65,-0.64,1119137,75687.67
29/09/2020,4356.93,3647.91,709.02,159801.46,159376.42,425.04,14062.87,13285.52,777.35,3508.02,3428.81,79.21,1105336,75307.37
28/09/2020,5746,4461.48,1284.52,156351.13,156047.66,303.47,15848.64,14310.62,1538.02,4826.18,4801.06,25.12,1117200,74344.67
25/09/2020,6432.25,8231.53,-1799.28,333326.19,330416.71,2909.48,25434.04,24940.37,493.67,2554.5,2409.71,144.79,1110679,72002.65
24/09/2020,6087.51,6674.92,-587.41,290392.55,288433.72,1958.83,29844.78,28522.74,1322.04,5450.95,5359.27,91.68,1175629,78807.47
23/09/2020,7509.03,8204.95,-695.92,272989.47,272198.29,791.18,40792.88,39952.85,840.03,7369.81,7270.45,99.36,1190304,80631.61
22/09/2020,6720.07,6288.41,431.66,205002.09,205790.29,-788.2,33173.51,33503.88,-330.37,9922.26,9679.49,242.77,1207534,82820.76
21/09/2020,6014.68,4114.65,1900.03,142005.58,140883.25,1122.33,24402.61,25851.8,-1449.19,9410.58,9455.53,-44.95,1208749,85487.17
18/09/2020,3643.78,4316.71,-672.93,299683.57,297101.84,2581.73,13088.67,14247.27,-1158.6,6259.2,6187.49,71.71,1219140,86655.28
17/09/2020,3324.51,3738.06,-413.55,195762.65,195217.62,545.03,13069.54,13998.08,-928.54,6910.64,6944.89,-34.25,1211626,86732.14
16/09/2020,3548.17,3464.07,84.1,185665.69,185157.67,508.02,13567.93,13869.21,-301.28,7215.14,7203.96,11.18,1211829,86437.32
15/09/2020,4341.92,5170.87,-828.95,179363.7,178955.77,407.93,15775.79,15675.82,99.97,8696.94,8833.73,-136.79,1217333,85992.88
14/09/2020,3601.71,4069.12,-467.41,138566.48,138215.09,351.39,12171.11,12408.96,-237.85,6487.55,6468.53,19.02,1210259,85339.65
11/9/2020,4817.36,4208.15,609.21,393050.09,387759.74,5290.35,14908.71,14462.17,446.54,9570.55,9506.97,63.58,1207047,84930.07
10/9/2020,3643.77,4369.44,-725.67,248397.03,246983.26,1413.77,14386.08,14194.71,191.37,6354.97,6378.18,-23.21,1211225,84310.75
9/9/2020,3185.1,2973.93,211.17,182021.38,181580.17,441.21,12568.75,12130.75,438,5113.88,5212.7,-98.82,1201472,83844.34
8/9/2020,3912.47,3259.48,652.99,177589.05,177921.78,-332.73,11255.08,11304.87,-49.79,4821.99,4868.22,-46.23,1201720,84822.62
7/9/2020,4678.07,5374.18,-696.11,182023.86,181958.83,65.03,14535.82,15139.08,-603.26,5263.45,5285.81,-22.36,1194320,84377.92
4/9/2020,3634.43,4406.32,-771.89,364913.04,362338.38,2574.66,12442.65,13618.45,-1175.8,4133.3,4186.1,-52.8,1219414,88023.48
3/9/2020,3847.58,4667.7,-820.12,289412.04,290522.84,-1110.8,13724.39,14332.33,-607.94,4560.87,4552.89,7.98,1214299,87639.81
2/9/2020,7602.39,6566.31,1036.08,323049.99,322389.87,660.12,18363.65,18547.51,-183.86,5984.1,6166.03,-181.93,1207516,86552.02
1/9/2020,7528.51,11596.29,-4067.78,308568.97,308785.44,-216.47,24825.62,26169.73,-1344.11,7892.34,7896.39,-4.05,1210558,85579.18
31/08/2020,5301.44,4950.75,350.69,177134.31,175739.88,1394.43,15754.84,16562.08,-807.24,4921.24,4673.35,247.89,1222456,88649.23
28/08/2020,7183.58,6583.58,600,295851.99,294388.53,1463.46,20535.04,20607.31,-72.27,2519.05,2318.39,200.66,1202062,86169.93
27/08/2020,6623.64,6263.24,360.4,205617.83,205857.35,-239.52,27327.83,28105.77,-777.94,5289.83,5184.77,105.06,1279271,91241.36
26/08/2020,6509.96,6654.05,-144.09,202660.52,202152.29,508.23,41097.03,41424.56,-327.53,5670.23,5525.66,144.57,1279012,90996.33
25/08/2020,3731.75,2945.61,786.14,125392.76,124932.51,460.25,33233.94,32805.51,428.43,7488.02,7362.36,125.66,1295431,92008.58
