Date,NIFTY,VIX,DOW,SGXNIFTY,EXCHANGE,FII_FUT,FII_OPT,CRUDE,Volume,200EMA,100EMA,50EMA,20EMA,5EMA,upperband,lowerband,macd,RSI
2009-01-12,2773.1,47.82,8473.97,2750.3,48.62,-407.7,373.02,42.91,382.11,4048.9889999999996,3367.003110820441,3035.055167070962,2938.8759280436393,2901.288409310683,3147.1537303282694,2797.591269671728,1.3701669813967783,41.05818182945071
2009-01-13,2744.95,53.47,8448.56,2722.05,48.925,-1444.12,565.73,44.83,252.7,4036.013487562189,3354.685227437858,3023.678493852493,2920.406792039483,2849.175606207122,3163.713196838048,2763.5118031619486,-14.441590520520549,39.86814117771913
2009-01-14,2835.3,53.47,8200.14,2811.8,48.64,-470.55,370.88,45.08,217.3,4024.066089675998,3344.4003714489895,3016.291101936709,2912.3013832738184,2844.5504041380814,3166.4375901468975,2752.1824098530997,-19.457735679908637,45.3437951652397
2009-01-15,2736.7,45.17,8212.49,2711.75,48.895,-303.3,206.83,44.69,214.28,4011.256476843401,3332.3667007272275,3005.3267449980144,2895.577442009645,2808.6002694253875,3175.381395284865,2718.7886047151314,-31.031550426666854,40.96023247452257
2009-01-16,2828.45,44.3,8281.22,2815.4,48.645,-1016.76,-26.07,46.57,229.5,3999.487258168342,3322.3881521979756,2998.3904020569157,2889.1843522944405,2815.2168462835916,3165.9561309251203,2706.883869074876,-32.42662978180033,46.17469659061344
2009-01-20,2796.6,45.0,7949.09,2775.55,49.05,-122.7,-90.0,43.62,233.29,3987.518230723881,3311.976505619798,2990.4770529566445,2880.366794933065,2809.0112308557277,3165.7741790428586,2691.2908209571383,-35.69084717078749,44.69882294227505
2009-01-21,2706.15,45.41,8228.1,2686.4,49.05,14.68,60.54,45.02,220.07,3974.7682980798622,3299.9799411520794,2979.326972448541,2863.774719225154,2774.7241539038187,3158.634508576509,2662.970491423488,-45.05693376135241,40.71847990338768
2009-01-22,2713.8,45.55,8122.8,2691.6,49.01,-712.76,46.47,45.39,229.57,3962.2213498402616,3288.3724175649095,2968.9141499995785,2849.4914126322824,2754.416102602546,3142.221813414381,2643.013186585616,-51.271310050126885,41.195430109442384
2009-01-23,2678.55,34.01,8077.56,2655.3,49.075,229.25,202.12,48.37,211.29,3949.4485005881197,3276.2967261279805,2957.52732058783,2833.2112780958746,2729.1274017350306,3131.217361660491,2617.942638339506,-58.36780076013429,39.61387823465638
2009-01-27,2771.35,42.86,8174.73,2767.2,48.7,-333.34,-51.14,43.73,218.65,3937.7261274479392,3266.2977810561392,2950.226249192229,2827.3197278010293,2743.201601156687,3121.2981563062262,2608.1318436937704,-55.85972025361434,45.541415424873335
2009-01-28,2849.5,40.76,8375.45,2846.6,48.67,1138.84,-184.53,44.9,274.48,3926.8980067768152,3258.044359649087,2946.276200204298,2829.4321346771217,2778.6344007711245,3116.8709695190714,2605.8240304809256,-47.02393387097163,49.9931789400936
2009-01-29,2823.95,43.11,8149.01,2823.95,48.77,1130.35,-124.44,45.4,330.75,3915.92339974421,3249.4484317352435,2941.4790943139337,2828.910026612634,2793.739600514083,3115.724510762044,2603.6404892379524,-41.603600564104,48.594558150357685
2009-01-30,2874.8,42.1,8000.86,2868.15,48.85,464.52,270.05,45.88,295.0,3905.563962930835,3242.029650908803,2938.86422787025,2833.2805002685736,2820.7597336760555,3111.8691024974723,2602.755897502525,-32.82637531725186,51.502547986935724
2009-02-02,2766.65,43.69,7936.83,2735.35,48.68,28.9,-91.16,43.82,234.94,3894.231485687742,3232.6161924749654,2932.1107287380833,2826.9347383382333,2802.723155784037,3097.675962877489,2595.6640371225085,-34.20289257037666,45.5948314079925
2009-02-03,2783.9,49.24,8078.36,2764.65,48.51,-625.74,-12.88,44.08,252.55,3883.1834112032866,3223.7307233170454,2926.298543297374,2822.83619182983,2796.448770522691,3084.7972168272936,2591.0177831727033,-33.51551557415951,46.64607786755665
2009-02-04,2803.05,44.39,7956.66,2781.35,48.715,275.49,-20.63,44.15,204.15,3872.435815071911,3215.4004119642327,2921.465267089634,2820.9517926079416,2798.649180348461,3053.4956469577814,2597.9493530422164,-31.06739381844318,47.850771556907
2009-02-05,2780.05,43.92,8063.07,2765.95,48.65,309.75,127.06,46.46,178.48,3861.5663044741805,3206.7796117273174,2915.919570341021,2817.0563837881377,2792.449453565641,2992.0681794689303,2625.236820531068,-30.630063168597644,46.49295477001315
2009-02-06,2843.1,50.65,8280.59,2830.7,48.63,-221.28,134.57,46.21,187.96,3851.4323113948353,3199.5780352574693,2913.063900915883,2819.5367281892673,2809.3329690437604,2916.205164695997,2674.129835304,-24.908735016512765,50.62883138588858
2009-02-09,2919.9,44.58,8270.87,2911.5,48.545,375.65,-242.86,46.02,117.64,3842.1633331720013,3194.0398563414797,2913.331983232907,2829.0951350283844,2846.1886460291735,2916.0768510961693,2674.2081489038287,-14.015857005431371,55.173975345287076
2009-02-10,2934.5,44.3,7888.88,2927.7,48.8,344.99,202.3,44.61,301.75,3833.131857220041,3188.900453245609,2914.162101537499,2839.13369359711,2875.625764019449,2929.5911627907485,2666.843837209249,-4.157153640562228,56.003198949508814
2009-02-11,2925.7,46.65,7939.53,2924.05,48.82,39.4,170.01,44.28,243.27,3824.1026845113843,3183.6885630823294,2914.6145681438716,2847.3781037307185,2892.317176012966,2947.7994336784805,2663.8955663215174,2.912282370552475,55.338714236059026
2009-02-12,2893.05,45.65,7932.76,2888.05,48.735,20.41,-270.97,44.65,214.71,3814.8384786953507,3177.9333440113924,2913.7688988048963,2851.727808137317,2892.5614506753104,2957.1627827287057,2669.3422172712926,5.813267480450577,52.83393026795816
2009-02-13,2948.35,43.31,7850.41,2946.15,48.595,-290.88,-181.62,44.81,195.72,3806.216702787934,3173.3871391794837,2915.1250204203907,2860.9299216480485,2911.1576337835404,2974.2607688020116,2663.549231197986,12.43126701122037,56.4309737933121
2009-02-17,2770.5,44.0,7552.6,2753.6,49.63,-733.54,-211.24,41.03,191.43,3795.911063954223,3165.4091760274146,2909.45345099214,2852.317548157758,2864.2717558556938,2973.0452112168527,2668.144788783145,3.287178130641678,44.63991543164435
2009-02-18,2776.15,43.04,7555.63,2763.25,50.01,-469.65,106.36,39.55,214.16,3785.7641876959724,3157.701073531822,2904.2258646787227,2845.0634959522577,2834.8978372371294,2971.591345284321,2664.368654715677,-3.4637425379673914,45.03284774358454
2009-02-19,2789.35,43.04,7465.95,2786.15,49.38,-331.1,50.19,41.99,174.59,3775.849618664172,3150.406992867826,2899.720928808969,2839.7574487187094,2819.715224824753,2971.462988315536,2663.7720116844625,-7.660461095561914,45.99722561746455
2009-02-20,2736.45,45.21,7365.67,2723.15,49.545,113.34,117.11,41.89,154.75,3765.5073339013443,3142.2098246922255,2893.3181472870488,2829.918644078832,2791.9601498831685,2969.10544847759,2669.1595515224076,-15.081132773499576,42.75947920202447
2009-02-24,2733.9,45.2,7350.94,2725.6,49.72,-914.49,224.85,42.5,182.64,3755.242584310286,3134.124481629013,2887.066455236576,2820.7740113094196,2772.606766588779,2967.5205854442297,2672.754414555768,-20.926603372755835,42.60380066931876
2009-02-25,2762.5,41.94,7270.89,2756.9,49.875,-39.12,123.21,44.29,176.81,3745.364548645507,3126.7655810026963,2882.1814962076905,2815.2241054704273,2769.2378443925195,2959.635813375482,2689.0341866245153,-22.98642673829545,45.02148642950525
2009-02-26,2785.65,39.87,7182.08,2785.65,50.345,46.37,309.38,46.51,250.17,3735.8151501515217,3120.010817022445,2878.395947336801,2812.4075239970534,2774.7085629283465,2959.37084350566,2690.7291564943375,-22.49157123564646,46.96872183563271
2009-02-27,2763.65,40.61,7062.93,2735.5,51.005,-252.43,85.48,46.35,231.16,3726.141865075387,3112.9541671804163,2873.8961062647695,2807.7639502830484,2771.0223752855645,2957.1496488762004,2684.365351123797,-23.602535485871158,45.325761999966794
2009-03-02,2674.6,43.36,6763.29,2639.4,51.825,-537.53,19.32,42.21,194.23,3715.6787619403085,3104.27388664219,2866.080572685759,2795.0816693037104,2738.8815835237097,2963.789596677402,2662.790403322596,-31.30767801256161,39.328877524135365
2009-03-03,2622.4,44.44,6726.02,2590.85,51.97,-343.92,-5.51,43.7,217.64,3704.8003662991114,3094.7318294809584,2856.5244717961214,2778.6357960366904,2700.0543890158065,2969.6202098254366,2631.7197901745617,-41.15179049914195,36.29725185204757
2009-03-04,2645.2,42.77,6875.84,2630.05,51.54,-456.71,219.77,46.12,202.95,3694.2570790722543,3085.830209095197,2848.237237608038,2765.927624985577,2681.7695926772044,2976.2548270613192,2612.9401729386786,-46.57664454989117,38.526215582306925
2009-03-05,2576.7,41.56,6594.44,2556.8,51.605,613.62,-46.92,43.64,244.86,3683.137108136212,3075.7484227764803,2837.588718486154,2747.905946415522,2646.746395118136,2989.2815022899217,2579.193497710075,-55.76048581985242,34.60821544426309
2009-03-06,2620.15,37.97,6626.94,2608.65,51.69,96.83,-23.57,44.85,242.51,3672.560121985603,3066.7266718304113,2829.0617099180695,2735.738713423568,2637.8809300787575,2991.9396311202213,2558.2453688797755,-58.85425905620559,38.85584776733392
2009-03-09,2573.15,41.03,6547.05,2548.4,51.815,678.57,-96.69,44.13,166.41,3661.6207177867414,3056.952876348621,2819.025956587949,2720.254074049895,2616.303953385838,2998.725792743299,2530.7692072566983,-64.35673940883316,36.12250353004072
2009-03-12,2617.45,38.48,7170.06,2600.7,51.5,-174.55,-0.52,45.09,213.79,3651.230959400804,3048.249849094193,2811.121017113912,2710.4632098546667,2616.6859689238922,2992.9397379162783,2513.9902620837183,-64.40048624455176,40.379690452908584
2009-03-13,2719.25,35.57,7223.98,2716.2,51.55,177.32,253.54,44.93,263.89,3641.9575170187063,3041.7350005972785,2807.5182321290526,2711.300047011365,2650.873979282595,2970.6758877477673,2516.189112252229,-55.58005443499178,48.8207586964112
2009-03-16,2777.25,36.64,7216.97,2774.2,51.14,1048.68,197.24,43.98,263.13,3633.353462122998,3036.497673852778,2806.3312426337957,2717.580994915045,2692.99931952173,2946.0923228070483,2525.0476771929484,-43.40928815188954,52.91133468503871
2009-03-17,2757.45,38.47,7395.7,2751.75,51.26,637.43,-65.3,48.24,288.78,3624.6380047884404,3030.971977340842,2804.4143311579605,2721.378043018374,2714.482879681153,2919.2575553749766,2535.0574446250203,-34.95858193975073,51.400963264773445
2009-03-19,2807.15,35.98,7400.8,2800.75,50.26,331.36,-104.09,50.67,223.41,3616.50379578557,3026.539858977657,2804.521612289021,2729.546800826148,2745.371919787435,2903.4292158561334,2542.2957841438633,-23.974597506425653,54.88238813972715
2009-03-20,2807.05,35.98,7278.38,2801.65,50.52,-122.73,7.29,51.22,186.84,3608.449529160838,3022.1935251365153,2804.620764748275,2736.928057890324,2765.93127985829,2869.5936848521396,2562.001315147857,-15.103674118419349,54.87387042178313
2009-03-23,2939.9,37.63,7775.86,2938.35,50.31,331.36,-104.09,53.47,250.48,3601.797295039835,3020.563950381337,2809.9258327973625,2756.2587190436266,2823.92085323886,2905.408926170453,2543.126073829544,2.6163219732479774,63.0731973213556
2009-03-24,2938.7,36.85,7660.21,2937.65,50.425,464.9,250.65,53.5,383.08,3595.1993120046127,3018.9428820569537,2814.9758001386426,2773.6340791347097,2862.180568825907,2935.387344437116,2529.40265556288,16.373967663605526,62.961913404287664
2009-03-25,2984.35,28.18,7749.81,2983.1,50.53,371.18,-98.46,51.75,383.65,3589.1212093976014,3018.2578744914695,2821.617925623402,2793.7022620742614,2902.9037125506047,2972.0865836687194,2512.203416331277,30.607747419143834,65.45864118915175
2009-03-26,3082.25,36.93,7924.56,3082.25,50.42,332.73,-80.38,53.46,416.18,3584.07771477673,3019.5250452936184,2831.838791285229,2821.1829990195697,2962.68580836707,3032.94030360501,2485.9296963949873,49.22044953622799,70.11181048056366
2009-03-27,3108.65,37.14,7776.18,3124.55,50.525,186.21,-290.5,51.98,323.36,3579.3470907491005,3021.2898958818637,2842.6941328034554,2848.5608086367533,3011.34053891138,3090.6794462829143,2465.6655537170823,65.34811701216313,71.23705948337809
2009-03-30,2978.15,40.25,7522.02,2988.1,51.13,165.94,22.4,47.99,275.78,3573.365030144632,3020.4356405178664,2848.0061275954768,2860.902636385634,3000.27702594092,3113.215106858785,2464.694893141212,66.82878962707355,59.34346339751989
2009-03-31,3020.95,39.48,7608.92,3015.25,50.57,-994.3,-443.89,49.23,341.4,3567.8683631780186,3020.4458258541463,2854.7882402387913,2876.1452424441454,3007.1680172939464,3140.3567285793306,2461.0832714206663,70.64152413018473,61.607441374586955
2009-04-01,3060.35,36.53,7761.6,3061.5,50.65,-1143.52,-112.84,48.44,319.35,3562.818429216048,3021.236007520401,2862.849485719623,2893.6885526875603,3024.8953448626307,3172.8776957528476,2458.2323042471485,75.96669761119574,63.61602141070851
2009-04-02,3211.05,37.4,7978.08,3222.6,50.01,337.91,176.52,52.75,370.84,3559.318245840764,3024.994700440789,2876.504407848265,2923.9134524316023,3086.946896575087,3232.39201187754,2452.3629881224565,91.29477714633322,70.06661439483094
2009-04-06,3256.6,41.72,7975.85,3260.25,50.01,1615.5,-40.61,52.24,357.07,3556.3061239916024,3029.580943996417,2891.4101173444114,2955.5978855333547,3143.497931050058,3289.6921906317084,2458.482809368288,105.8971781821665,71.69981147014009
2009-04-08,3342.95,43.55,7837.11,3355.5,50.14,186.46,79.66,51.59,409.03,3554.183177484223,3035.786271838072,2909.117563723062,2992.4885631016064,3209.981954033372,3357.692304658599,2460.2576953413973,123.01931941329303,74.53619348448417
2009-04-09,3342.05,43.54,8083.38,3355.4,49.83,909.6,-636.83,54.06,414.64,3552.072399598808,3041.850900118506,2926.0953063221577,3025.780128520501,3254.004636022248,3406.501761501684,2487.983238498313,134.96037799137457,74.45243686083376
2009-04-13,3382.6,46.56,8057.81,3390.9,49.72,614.44,47.46,52.14,331.53,3550.386107065486,3048.5984070468526,2943.9974511722694,3059.7629734233105,3296.8697573481654,3456.125129046701,2514.6048709532956,146.01265604552555,75.77336179558549
2009-04-15,3484.15,48.02,8029.62,3492.9,49.575,466.26,-68.74,51.79,458.49,3549.727041323541,3057.223191065727,2965.1799040674746,3100.1807854782332,3359.296504898777,3509.5473673761294,2552.282632623867,161.10874106179153,78.73820862809951
2009-04-16,3369.5,50.51,8125.43,3375.6,49.61,535.19,-764.16,53.06,559.55,3547.9337374297743,3063.406890252544,2981.0355941040443,3125.8302344803064,3362.6976699325182,3529.1371373094207,2607.8978626905764,161.9542921023217,68.53983379491758
